name,networth,education
Pat_Ryan_(executive),2.5E9,Northwestern University
Pyotr_Aven,6.4E9,Moscow State University
Olive_Willis,16510.0,Roedean School
Oscar_Wyatt,1.0E8,Texas A&M University
Oscar_Wyatt,1.0E8,Mechanical engineering
Owen_Oyston,100.0,St Mary's Catholic Academy
Barbra_Streisand,6.5E8,Erasmus Hall High School
Belmiro_de_Azevedo,1.5E9,Stanford University
Belmiro_de_Azevedo,1.5E9,Harvard University
Belmiro_de_Azevedo,1.5E9,University of Porto
Bernard_Ashley_(businessman),6.0E7,Whitgift School
Bernard_Marcus,3.5E9,Rutgers University
Bernard_Spitzer,5.0E8,City College of New York
Bhavin_Turakhia,4.0E8,Ruparel College
Bhavin_Turakhia,4.0E8,Arya Vidya Mandir
Bhavin_Turakhia,4.0E8,Sydenham College
Bill_Koch_(businessman),2.0E9,Culver Academies
Billy_Graham,2.5E7,Wheaton College (Illinois)
Billy_Graham,2.5E7,Trinity College (Florida)
Billy_Graham,2.5E7,Anthropology
Binny_Bansal,1.3E9,Indian Institute of Technology Delhi
Biz_Stone,2.0E8,University of Massachusetts
Biz_Stone,2.0E8,Northeastern University
Blair_Parry-Okeden,9.8E9,La Pietra
Bob_McNair,3.3E9,University of South Carolina
Bobby_Murphy_(businessman),1.8E9,Stanford University
Brian_L._Roberts,1.47E9,Germantown Academy
Bruno_Schroder,5.0E9,Eton College
Bülent_Eczacıbaşı,1.7E9,Chemical engineering
Hyatt_Bass,2.8E8,Princeton University
Harindarpal_Banga,1.3E9,Master mariner
Harry_Sargeant_III,1.0E9,Florida State University
Harvey_McGrath,1.0E8,St Catharine's College Cambridge
Harvey_McGrath,1.0E8,Methodist College Belfast
Heather_Mills,2.43E7,Washington Tyne and Wear
Heather_Mills,2.43E7,Chestnut Grove Academy
Hennadiy_Korban,1.53E8,National Mining University of Ukraine
Henry_Hillman,2.5E9,Taft School
Henry_Hillman,2.5E9,Shady Side Academy
Henry_Silverman,3.0E8,Williams College
Henry_Silverman,3.0E8,University of Pennsylvania Law School
Henry_Sy,1.57E10,Far Eastern University
"Herbert_Allen,_Jr.",1.5E9,Williams College
"Herbert_Kohler,_Jr.",7.4E9,Choate Rosemary Hall
Hamilton_E._James,1.84E9,Choate Rosemary Hall
Charles_R._Schwab,5.3E9,Stanford University
Chase_Coleman_III,2.3E9,Deerfield Academy
Chen_Guangbiao,4.0E8,Master of Business Administration
