education,country,education_count
University of Tennessee,USA,3
University of Texas at Arlington,USA,1
University of Texas at Austin,USA,9
University of Tokyo,Japan,2
University of Toronto,Canada,2
University of Utah,USA,1
University of Verona,Italy,1
University of Virginia,USA,6
University of Virginia School of Law,USA,1
University of Warwick,UK,1
University of Washington,USA,2
University of Waterloo,Canada,1
University of Western Ontario,Canada,2
University of Windsor,Canada,1
University of Wisconsin–Eau Claire,USA,1
University of Wisconsin–Madison,USA,2
University of Zagreb,Croatia,1
University of Zurich,Switzerland,1
University of the Pacific (United States),USA,1
University of the Philippines,Philippines,1
University of the Punjab,Pakistan,1
University of the Witwatersrand,South Africa,4
Université de Montréal,Canada,1
Université de Sherbrooke,Canada,1
Uppingham School,NA,1
Ural State Technical University,Russia,1
Vanderbilt University,USA,2
Vassar College,USA,1
Village Christian Schools,NA,1
Villanova University,USA,1
Virginia Tech,USA,1
Waseda University,Japan,3
Washington State University,USA,1
Washington Tyne and Wear,NA,1
Washington University in St. Louis,USA,2
Washington and Lee University,USA,1
Waterkloof House Preparatory School,NA,1
Wayne Memorial High School,NA,1
Wayne State University,USA,1
Wayne State University Law School,USA,1
Webb School (Bell Buckle Tennessee),NA,1
Wellesley House School,NA,1
Wesco Financial,NA,1
Wesleyan College,USA,1
Wesleyan University,USA,1
Western Michigan University,USA,1
Westminster School,NA,2
Wharton School of the University of Pennsylvania,USA,20
Wheaton College (Illinois),USA,2
Whitgift School,NA,1
Wilfrid Laurier University,Canada,1
Williams College,USA,5
Winckley Square,NA,1
Worcester College Oxford,UK,2
Worcester Polytechnic Institute,USA,2
Wuhan University,China,2
Xavier High School (New York City),NA,1
Xi'an Jiaotong University,China,1
Yale College,USA,2
Yale Law School,USA,1
Yale School of Management,USA,1
Yale University,USA,17
Zhejiang University,China,5
english.html,NA,1
École Polytechnique,France,2
École Spéciale d'Architecture,France,1
Ștefan Gheorghiu Academy,Romania,1
